JOBMAP_LINK_CD	JOB_DIC_VFCL_CD	JOB_DIC_VFCL_SEQNO	VFCL_JOB_NM	IND_CLCD	IND_CD_KOR_NM	GED	SVP	FD	FP	FT	STR	D1	CB	D2	CK	D3	RH	D4	TA	D5	HE	D6	VP	Factor1	Factor2	Factor3	IND1	OCC1
0442	2122	12	북한경제연구원	M702	인문 및 사회과학 연구개발업	18	10	6	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4379593645	-1.1868426	-0.285682601	70	212
0442	2122	15	산업노동정책연구원	M702	인문 및 사회과학 연구개발업	18	10	6	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4379593645	-1.1868426	-0.285682601	70	212
0442	2122	22	재정복지정책연구원	M702	인문 및 사회과학 연구개발업	18	10	6	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4379593645	-1.1868426	-0.285682601	70	212
0442	2122	24	지역환경정책연구원	M702	인문 및 사회과학 연구개발업	18	10	6	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4379593645	-1.1868426	-0.285682601	70	212
0432	2111	26	생체역학연구원	M701	자연과학 및 공학 연구개발업	18	10	8	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4350616749	-0.01856949	-0.22492579	70	211
0432	2111	43	운동생리학연구원	M701	자연과학 및 공학 연구개발업	18	10	8	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4350616749	-0.01856949	-0.22492579	70	211
0442	2122	17	스포츠사회학연구원	M702	인문 및 사회과학 연구개발업	18	10	8	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4350616749	-0.01856949	-0.22492579	70	212
0442	2122	18	스포츠정책연구원	M702	인문 및 사회과학 연구개발업	18	10	8	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4350616749	-0.01856949	-0.22492579	70	212
1511	2353	51	자동차시험검사연구원	M729	기타 과학기술 서비스업	16	4	8	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.431686251	-0.609908702	-0.398552387	72	235
1511	2353	52	자동차안전시험연구원	M729	기타 과학기술 서비스업	16	4	8	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.431686251	-0.609908702	-0.398552387	72	235
1512	2354	23	자동차성능시험원	M729	기타 과학기술 서비스업	16	4	8	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.431686251	-0.609908702	-0.398552387	72	235
2229	2399	7	엘이디조명컨설턴트	C284	전구 및 조명장치 제조업	16	4	8	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.431686251	-0.609908702	-0.398552387	28	239
0211	2711	5	커리어코치	N751	인력공급 및 고용알선업	16	10	7	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4314824096	-0.465621692	-0.433489394	75	271
0111	1110	4	노동조합고위임원	S942	노동조합	12	15	8	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4313974579	-0.503045818	-0.570515156	94	111
0121	1202	4	대학교무처장	P853	고등 교육기관	18	10	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4292127862	-0.55447581	-0.362769796	85	120
0121	1202	5	대학기획처장	P853	고등 교육기관	18	10	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4292127862	-0.55447581	-0.362769796	85	120
0121	1202	6	대학총무처장	P853	고등 교육기관	18	10	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4292127862	-0.55447581	-0.362769796	85	120
0121	1202	7	대학학생처장	P853	고등 교육기관	18	10	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4292127862	-0.55447581	-0.362769796	85	120
0125	1390	7	시장여론조사관리자	M714	시장조사 및 여론조사업	18	10	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4292127862	-0.55447581	-0.362769796	71	139
0861	2831	47	영화제1조감독	J591	영화, 비디오물, 방송프로그램 제작 및 배급업	16	15	7	7	0	2	0	0	0	0	0	0	1	1	0	0	4	1	1.4290595441	-0.529688133	1.7789224833	59	283
1511	2353	33	선박설계기술자	C311	선박 및 보트 건조업	16	4	8	7	7	2	0	0	0	0	1	1	0	0	0	0	0	0	1.4286566336	0.1674839732	0.4764357835	31	235
1511	2353	63	철도차량설계기술자	C312	철도장비 제조업	16	4	8	7	7	2	0	0	0	0	1	1	0	0	0	0	0	0	1.4286566336	0.1674839732	0.4764357835	31	235
0620	2415	3	경마수의위원	R911	스포츠 서비스업	18	4	7	8	7	2	0	0	1	1	4	1	0	0	0	0	7	1	1.4265978984	0.653348623	2.381869323	91	241
1469	7749	13	화약류관리원	B/F		14	10	8	5	7	3	0	0	1	1	0	0	0	0	0	0	0	0	1.4248149539	1.4640876708	-0.432585044	/F	774
0432	2111	32	수산생물병리연구원	M701	자연과학 및 공학 연구개발업	18	4	7	7	7	2	0	0	1	1	0	0	0	0	0	0	4	1	1.423869594	0.381104627	1.686063683	70	211
0140	1340	2	극장관리자	R901	창작 및 예술관련 서비스업	16	15	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4237022055	-0.257572323	-0.475326613	90	134
0152	1413	7	방사방적관리자	C131	방적 및 가공사 제조업	16	15	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4237022055	-0.257572323	-0.475326613	13	141
0152	1413	10	섬유제품제조관리자	C132	직물직조 및 직물제품 제조업	16	15	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4237022055	-0.257572323	-0.475326613	13	141
0152	1413	13	의약품제조관리자	C211/C212		16	15	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4237022055	-0.257572323	-0.475326613	21	141
0152	1413	15	콘크리트제조관리자	C233	시멘트, 석회, 플라스터 및 그 제품 제조업	16	15	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4237022055	-0.257572323	-0.475326613	23	141
1273	2863	6	경마재결위원	R911	스포츠 서비스업	16	15	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4237022055	-0.257572323	-0.475326613	91	286
0140	1340	11	신문제작국장	J581	서적, 잡지 및 기타 인쇄물 출판업	16	10	8	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1.4227358313	0.1667450982	-0.510576589	58	134
1271	2861	2	운동감독	R911	스포츠 서비스업	16	10	8	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1.4227358313	0.1667450982	-0.510576589	91	286
1970	8640	72	의료기기제조반장	C271	의료용 기기 제조업	16	10	8	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1.4227358313	0.1667450982	-0.510576589	27	864
0847	2847	2	무용가	R901	창작 및 예술관련 서비스업	16	4	8	4	0	2	1	1	4	1	0	0	0	0	0	0	0	0	1.4209190805	0.9151414096	-0.540003075	90	284
1414	2314	13	지능형첨단교통망연구원	M721	건축기술, 엔지니어링 및 관련기술 서비스업	16	2	8	7	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4163661765	-0.186420364	-0.202333738	72	231
2012	2212	19	셋톱박스개발자	C265	영상 및 음향기기 제조업	16	2	8	7	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4163661765	-0.186420364	-0.202333738	26	221
2023	2226	3	악성프로그램치료사	J582	소프트웨어 개발 및 공급업	16	2	8	7	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4163661765	-0.186420364	-0.202333738	58	222
2032	2223	2	게임프로그래머	J582	소프트웨어 개발 및 공급업	16	2	8	7	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4163661765	-0.186420364	-0.202333738	58	222
2032	2223	8	모바일프로그래머	J582	소프트웨어 개발 및 공급업	16	2	8	7	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1.4163661765	-0.186420364	-0.202333738	58	222
0432	2111	76	해양바이오에너지연구원	M701	자연과학 및 공학 연구개발업	18	10	8	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	1.414708286	0.5830396607	-0.260674462	70	211
0512	2612	2	변호사	M711	법무관련 서비스업	16	10	7	8	0	2	0	0	0	0	0	0	1	1	0	0	0	0	1.4133059818	-0.709810508	-0.028254279	71	261
0313	2723	2	보험계리사	K662	보험 및 연금관련 서비스업	16	4	8	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4059519573	-1.133784445	-0.336130386	66	272
2012	2212	41	통신서비스메뉴관리원	J612	전기통신업	16	4	8	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4059519573	-1.133784445	-0.336130386	61	221
0111	1110	6	비영리단체임원	S949	기타 협회 및 단체	16	10	7	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4057481159	-0.989497435	-0.371067393	94	111
0111	1110	9	협회임원	S941	산업 및 전문가 단체	16	10	7	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4057481159	-0.989497435	-0.371067393	94	111
0123	1209	2	신용조사관리자	N759	기타 사업지원 서비스업	16	10	7	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4057481159	-0.989497435	-0.371067393	75	120
0231	2733	6	광고영상연출기획원	M713	광고업	16	10	7	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4057481159	-0.989497435	-0.371067393	71	273
0312	2722	3	부동산펀드매니저	K661	금융지원 서비스업	16	10	7	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4057481159	-0.989497435	-0.371067393	66	272
0312	2722	7	파생상품자산운용가	K661	금융지원 서비스업	16	10	7	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4057481159	-0.989497435	-0.371067393	66	272
0312	2722	8	펀드매니저	K661	금융지원 서비스업	16	10	7	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4057481159	-0.989497435	-0.371067393	66	272
0321	3203	28	수신사무관리자	K641	은행 및 저축기관	14	15	7	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4002375352	-0.692593948	-0.48362421	64	320
2052	2230	17	컴퓨터시험기술자	C263	컴퓨터 및 주변장치 제조업	16	10	7	5	7	1	0	0	0	0	0	0	0	0	0	0	0	0	1.399990194	-0.484348756	-0.191884863	26	223
1319	4419	2	음식메뉴개발자	I561	음식점업	14	10	8	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.399271161	-0.268276528	-0.518874186	56	441
0811	2811	8	소설가	R901	창작 및 예술관련 서비스업	16	10	8	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.3970015376	-0.357130645	-0.448154588	90	281
